"Rank","Mean Fitness","Deviation Fitness","Best Fitness","Best of Its Type","Algorithm Name","Algorithm Type","Team Members","Comments"
"1","76833,3333333333","786,150324895521","76118","Yes","SS with 2-opt (first improvement) local search for QAP","SS","Ariel Hernández Amador, Yasser González Fernández",""
"2","77366,3333333333","985,373702375567","76231","Yes","GRASP with 2-opt (best improvement) local search for QAP","GRASP","Ariel Hernández Amador, Yasser González Fernández",""
"3","77519,3333333333","699,088215701948","76725","Yes","GA for QAP","GA","Ariel Hernández Amador, Yasser González Fernández",""
"4","77565","1184,55856756853","76600","","GA with 2-opt (first improvement) local search for QAP","GA","Ariel Hernández Amador, Yasser González Fernández",""
"5","77661,6666666667","1135,72062292332","76847","Yes","PSO with 2-opt (first improvement) local search for QAP","PSO","Ariel Hernández Amador, Yasser González Fernández",""
"6","77828,6666666667","339,429423199188","77439","","GRASP with 2-opt (first improvement) local search for QAP","GRASP","Ariel Hernández Amador, Yasser González Fernández",""
"7","77840,3333333333","842,216915843735","76871","","GA with 2-opt (best improvement) local search for QAP","GA","Ariel Hernández Amador, Yasser González Fernández",""
"8","78120,3333333333","271,443057257564","77929","Yes","ACO for QAP","ACO","Ariel Hernández Amador, Yasser González Fernández",""
"9","78227,3333333333","226,190922305324","78041","Yes","UMDA with 2-opt (best improvement) local search for QAP","EDA","Ariel Hernández Amador, Yasser González Fernández",""
"10","78251,6666666667","564,384915933562","77622","","ACO with 2-opt (first improvement) local search for QAP","ACO","Ariel Hernández Amador, Yasser González Fernández",""
"11","78260,3333333333","841,849353110955","77534","","PSO with 2-opt (best improvement) local search for QAP","PSO","Ariel Hernández Amador, Yasser González Fernández",""
"12","78309,3333333333","815,175032329458","77645","Yes","TS for QAP","TS","Ariel Hernández Amador, Yasser González Fernández",""
"13","78371,3333333333","243,313241179623","78106","","SS for QAP","SS","Ariel Hernández Amador, Yasser González Fernández",""
"14","78398,3333333333","960,142871313084","77634","","UMDA with 2-opt (first improvement) local search for QAP","EDA","Ariel Hernández Amador, Yasser González Fernández",""
"15","78419","195,263923959343","78255","Yes","TS with GRASP with 2-opt (best improvement) local search for QAP","HM","Ariel Hernández Amador, Yasser González Fernández",""
"16","78419","340,471731572535","78154","Yes","2-opt (best improvement) for QAP","SH","Ariel Hernández Amador, Yasser González Fernández",""
"17","78443,6666666667","489,908494857288","77885","","SA with GRASP with 2-opt (first improvement) local search for QAP","HM","Ariel Hernández Amador, Yasser González Fernández",""
"18","78478,3333333333","316,610696808136","78157","","TS with GRASP with 2-opt (first improvement) local search for QAP","HM","Ariel Hernández Amador, Yasser González Fernández",""
"19","78764,6666666667","823,172116469778","77863","","PSO for QAP","PSO","Ariel Hernández Amador, Yasser González Fernández",""
"20","78971,3333333333","698,183595720591","78256","","UMDA for QAP","EDA","Ariel Hernández Amador, Yasser González Fernández",""
"21","79068,6666666667","884,753826402199","78086","Yes","SA for QAP","SA","Ariel Hernández Amador, Yasser González Fernández",""
"22","79164,3333333333","380,071484504341","78730","","2-opt (first improvement) for QAP","SH","Ariel Hernández Amador, Yasser González Fernández",""
"23","79214","114,315353299546","79082","","ACO with 2-opt (best improvement) local search for QAP","ACO","Ariel Hernández Amador, Yasser González Fernández",""
"24","79356","1053,74522537471","78269","","SA with GRASP with 2-opt (best improvement) local search for QAP","HM","Ariel Hernández Amador, Yasser González Fernández",""
"25","","","","","SS with 2-opt (best improvement) local search for QAP","SS","Ariel Hernández Amador, Yasser González Fernández","Execution time exceed."
